Supermarket,Locality,Product_Name,Category,Date,Day_of_Week,Quantity_Sold,Price_per_kg,Discounted_Price,Holiday,Weather,Promotion
FreshMart,Indiranagar,Tomatoes,Vegetable,01-01-2024,Monday,114,30 INR,20 INR,No,Clear,No
FreshMart,Indiranagar,Apples,Fruit,01-01-2024,Monday,95,60 INR,55 INR,No,Cloudy,No
FreshMart,Indiranagar,Cabbage,Vegetable,01-01-2024,Monday,119,20 INR,5 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Bananas,Fruit,01-01-2024,Monday,145,25 INR,10 INR,No,Clear,No
FreshMart,Indiranagar,Potatoes,Vegetable,01-01-2024,Monday,92,18 INR,8 INR,No,Cloudy,No
FreshMart,Indiranagar,Spinach,Leafy Green,01-01-2024,Monday,92,15 INR,15 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Tomatoes,Vegetable,01-01-2024,Monday,147,30 INR,30 INR,No,Clear,No
UrbanBite,Indiranagar,Apples,Fruit,01-01-2024,Monday,123,60 INR,45 INR,No,Clear,No
UrbanBite,Indiranagar,Cabbage,Vegetable,01-01-2024,Monday,85,20 INR,15 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Bananas,Fruit,01-01-2024,Monday,116,25 INR,15 INR,No,Clear,No
UrbanBite,Indiranagar,Potatoes,Vegetable,01-01-2024,Monday,86,18 INR,13 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,01-01-2024,Monday,86,15 INR,10 INR,No,Clear,No
DailyGro,Indiranagar,Tomatoes,Vegetable,01-01-2024,Monday,107,30 INR,15 INR,No,Cloudy,Yes
DailyGro,Indiranagar,Apples,Fruit,01-01-2024,Monday,42,60 INR,60 INR,No,Rainy,Yes
DailyGro,Indiranagar,Cabbage,Vegetable,01-01-2024,Monday,48,20 INR,10 INR,No,Rainy,No
DailyGro,Indiranagar,Bananas,Fruit,01-01-2024,Monday,83,25 INR,20 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Potatoes,Vegetable,01-01-2024,Monday,69,18 INR,8 INR,No,Rainy,No
DailyGro,Indiranagar,Spinach,Leafy Green,01-01-2024,Monday,109,15 INR,15 INR,Yes,Clear,No
CityVeg,Indiranagar,Tomatoes,Vegetable,01-01-2024,Monday,72,30 INR,20 INR,Yes,Rainy,No
CityVeg,Indiranagar,Apples,Fruit,01-01-2024,Monday,57,60 INR,60 INR,No,Cloudy,No
CityVeg,Indiranagar,Cabbage,Vegetable,01-01-2024,Monday,143,20 INR,20 INR,Yes,Rainy,No
CityVeg,Indiranagar,Bananas,Fruit,01-01-2024,Monday,93,25 INR,15 INR,No,Clear,Yes
CityVeg,Indiranagar,Potatoes,Vegetable,01-01-2024,Monday,102,18 INR,3 INR,Yes,Clear,No
CityVeg,Indiranagar,Spinach,Leafy Green,01-01-2024,Monday,57,15 INR,15 INR,Yes,Clear,No
QuickKart,Indiranagar,Tomatoes,Vegetable,01-01-2024,Monday,83,30 INR,15 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Apples,Fruit,01-01-2024,Monday,103,60 INR,50 INR,Yes,Rainy,No
QuickKart,Indiranagar,Cabbage,Vegetable,01-01-2024,Monday,65,20 INR,20 INR,Yes,Cloudy,No
QuickKart,Indiranagar,Bananas,Fruit,01-01-2024,Monday,111,25 INR,20 INR,No,Cloudy,No
QuickKart,Indiranagar,Potatoes,Vegetable,01-01-2024,Monday,81,18 INR,8 INR,Yes,Rainy,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,01-01-2024,Monday,91,15 INR,5 INR,Yes,Cloudy,Yes
FreshMart,Indiranagar,Tomatoes,Vegetable,02-01-2024,Tuesday,81,30 INR,25 INR,Yes,Cloudy,Yes
